authors	journal	year	publisher	title	query
T Eng, D Banerjee, J Menasalvas, Y Chen, J Gin… 	bioRxiv	 2023 	biorxiv.org	Ensemble and Iterative Engineering for Maximized Bioconversion to the Blue Pigment, Indigoidine from Non-Canonical Sustainable Carbon Sources	NC_002947
K Royet, L Kergoat, S Lutz, C Oriol, N Parisot, C Schori… 	bioRxiv	 2024 	biorxiv.org	High-throughput Tn-seq screens identify both known and novel Pseudomonas putida KT2440 genes involved in metal resistance	AE015451
GMV de Siqueira, A Srinivasan, Y Chen, JW Gin… 	bioRxiv	 2024 	biorxiv.org	Alternate routes to acetate tolerance lead to varied isoprenol production from mixed carbon sources in Pseudomonas putida	NC_002947
Z Al-Tameemi, A Rodríguez-Verdugo 	bioRxiv	 2024 	biorxiv.org	Cross-feeding maintains diversification in an experimentally evolved microbial community	NC_002947
EA Khan, C Rückert-Reed, GS Dahiya, L Tietze… 	bioRxiv	 2024 	biorxiv.org	High-resolution mapping of Sigma Factor DNA Binding Sequences using Artificial Promoters, RNA Aptamers and Deep Sequencing	NC_002947
M Pulido Sanchez, E Moreno-Beltran… 	bioRxiv	 2024 	biorxiv.org	HsbA represses stationary phase biofilm formation in Pseudomonas putida	NC_002947
D Mielecki, S Saumaa, M Wrzesinski, AM Maciejewska… 	vivo	 In vitro, 2013 	academia.edu	Pseudomonas putida AlkA and AlkB proteins comprise different defense systems for the repair of alkylation damage to DNA	NC_002947
李静珂， 金涛， 赵鸿 	中国科学: 物理学	 力学, 天文学, 2015 	core.ac.uk	以多肽组分特异性和 GC 含量分类细菌的有效性分析	NC_002947
AC McHardy 	NA	2004 	core.ac.uk	Gene finding and the evaluation of synonymous codon usage features in microbial genomes	AE015451
M Heethoff 	NA	2004 	tuprints.ulb.tu-darmstadt.de	Genetic diversity and evolutionary age of parthenogenetic oribatid mites (Acari: Oribatida)	NC_002947
卫海滨， 戚继， 郝柏林 	NA	2004 	power.itp.ac.cn	组分距离方法构建基于核糖体蛋白质或氨酰 tRNA 合成酶的原核生物亲缘树	NC_002947
LA Waidner, DL Kirchman 	NA	2005	NA	[CITATION] Aerobic anoxygenic photosynthesis genes and operons in uncultured bacteria in the Delaware River: Supplemental materials.	NC_002947
M Yao 	NA	2005 	repository.rit.edu	Proteomic studies of pseudomonas putida KT2440 in carcinogenicity screening via 2-dimensional gel electrophoresis	AE015451
WWY Lau 	NA	2005 	search.proquest.com	[BOOK] Understanding interactions between marine bacteria and phytoplankton: The influence of phytoplankton photorespiration on diversity and succession of …	NC_002947
P Song 	NA	2005 	search.proquest.com	[BOOK] Pyrene metabolism in cells of Pseudomonas putida strain KBM-1	NC_002947
JG Bragg 	NA	2006 	search.proquest.com	[BOOK] Ecological consequences of variation in genomic and proteomic elemental composition	AE015451
JI Jiménez Zarco, JL García, E Díaz 	NA	2006 	digital.csic.es	6HNA-Producing micro-organism, method of obtaining said micro-organism, elements used to produce same and applications thereof.	AE015451
JI Jiménez Zarco 	NA	2006 	digital.csic.es	Análisis genómico del catabolismo de compuestos aromáticos en Pseudomonas putida KT2440: caracterización molecular de la ruta de degradación del ácido …	AE015451
MV Souza 	NA	2006 	lume.ufrgs.br	Caracterização parcial de um fragmento e detecção por RT-PCR de Rice Stripe Necrosis Virus	AE015451
SH Harrison 	NA	2006 	search.proquest.com	[BOOK] Open reading frame composition and organization as indicators of phenotypic diversity in bacteria and archaea	NC_002947
JG Bragg 	NA	2006 	search.proquest.com	[BOOK] Ecological consequences of variation in genomic and proteomic elemental composition	NC_002947
J Ellis 	NA	2006 	repository.lib.ncsu.edu	The RNA World: A Look at Ribonuclease P RNA, Small Nucleolar RNA, 6S RNA, and the Small Ribosomal Subunit	NC_002947
HY Lee 	NA	2006 	library-archives.canada.ca	Étude phylogénétique des [gamma]-protéobactéries basée sur les gènes 16S ARNr et des gènes codant pour des protéines	NC_002947
S Focardi, M Pepi, M Ruta, M Marvasi, E Bernardini… 	NA	2007 	academia.edu	Middlesex University Research Repository	AE015451
LC Ferreira 	NA	2007 	teses.usp.br	Aspectos bioquímicos e moleculares de bactérias isoladas de Terra Preta Antropogênica (TPA) na região da Amazônia Brasileira	AE015451
G Loubnan 	NA	2007 	ecommons.cornell.edu	Differentiation of bacterial gram type via rRNA detection	NC_002947
CR Hall 	NA	2007 	search.proquest.com	[BOOK] The contribution of horizontal gene transfer to the evolution of fungi	NC_002947
MF Villegas Torres 	NA	2007 	repositorio.uniandes.edu.co	Efectos moleculares y fisiológicos del arsenato en microorganismos nativos cultivables	NC_002947
MQ Yuan, ZY Shi, XX Wei, Q Wu, SF Chen, GQ Chen 	NA	2008	NA	[CITATION] fadL, fadD and phaZ	AE015451
MOA Sommer 	NA	2008 	search.proquest.com	[BOOK] Functional microbiomics: Uncovering novel reservoirs of microbial machinery for antibiotic and biomass inhibitor processing	AE015451
MJ Dark 	NA	2008 	search.proquest.com	[BOOK] Comparative genomics of Anaplasma marginale-a preliminary examinaton of factors involved in tick transmission	AE015451
CAO BIN 	NA	2008 	core.ac.uk	Proteomics Analysis of Pseudomonas putida in Biodegradation of Aromatic Compounds	AE015451
R Han 	NA	2008 	search.proquest.com	[BOOK] Phthalate biodegradation: gene organization, regulation and detection	AE015451
MJ Dark 	NA	2008 	search.proquest.com	[BOOK] Comparative genomics of Anaplasma marginale-a preliminary examinaton of factors involved in tick transmission	NC_002947
WA Emmett 	NA	2008 	search.proquest.com	[BOOK] Using oligonucleotide signatures to build a system for effective detection of pathogenic bacteria in metagenomic samples	NC_002947
楊忠翰， 盧錦隆 	NA	2008 	ir.lib.nycu.edu.tw	利用加權斷點距離建構原核生物的演化樹	NC_002947
I Roca Subirà 	NA	2008 	ddd.uab.cat	[BOOK] Towards an Understanding of Ribonucleotide Reduction in Bacteria: a comprehensive study in Streptococcus pyogenes and Escherichia coli	NC_002947
SK De Long 	NA	2009 	search.proquest.com	[BOOK] Molecular Biology Tools for Identification and Quantification of Perchlorate-Reduction Genes in Biotreatment Applications	AE015451
JM Rubio Aranda 	NA	2009 	docta.ucm.es	Avances en el metabolismo del ácido fenilacético en"" Pseudomonas"" sp. Y2	AE015451
LI Eugenio 	NA	2009 	digital.csic.es	Estudio bioquímico, genético y fisiológico de la degradación intracelular de polihidroxialcanoatos en Pseudomonas putida: aplicaciones biotecnológicas	AE015451
TS Moon 	NA	2009 	dspace.mit.edu	Retrobiosynthesis of D-glucaric acid in a metabolically engineered strain of Escherichia coli	NC_002947
A Panosa Borràs 	NA	2009 	ddd.uab.cat	[BOOK] Ribonucleotidil reductases de Salmonella enterica serovar typhimurium: regulació transcripcional i participació en la patogènesi	NC_002947
A Leprince 	NA	2010 	Dissertation, Braunschweig …	[CITATION] Development of genetic tools for large-scale deletions and streamlining of a Pseudomonas putida strain.	AE015451
M Gaillard, N Pradervand, M Minoia, V Sentchilo… 	NA	2010 	bmcmicrobiol.biomedcentral.com	Research article Transcriptome analysis of the mobile genome ICEclc in Pseudomonas knackmussii B13	AE015451
H Beuttler 	NA	2010 	academia.edu	Biosynthese von Carotinoiden mittels rekombinanten Mikroorganismen	AE015451
PG Grazziotin 	NA	2010 	lume.ufrgs.br	Isolamento de microrganismos resistentes a mercúrio e caracterização da mercúrio redutase de Pseudomonas sp. B50A	AE015451
E Belda Cuesta 	NA	2010 	core.ac.uk	[BOOK] Genome evolution and systems biology in bacterial endosymbionts of insects	NC_002947
C Davenport 	NA	2010 	d-nb.info	Genomic and metagenomic application of microbial genome signatures	NC_002947
SW Aung 	NA	2011 	studentsrepo.um.edu.my	Heterologous expression of lipase gene (lip) and PHA synthase gene (PHAC1) from pseudomonas spp. in escherichia coli for the biosynthesis of …	AE015451
SR Steyert 	NA	2011 	search.proquest.com	Role of urease in the pathogenicity of Shiga toxin-producing Escherichia coli	AE015451
MA Betcher 	NA	2011 	digitalcollections.ohsu.edu	Insights Into the Shipworm (bivalvia: Teredinidae)-bacterial Symbiosis: Novel Isolates and Micrographic Localization Studies: a Thesis	AE015451
JBJH van Duuren 	NA	2011 	search.proquest.com	[BOOK] Optimization of Pseudomonas putida KT2440 as host for the production of cis, cis-muconate from benzoate	AE015451
V Martínez, E Díaz, P García, JL García, E Duque… 	NA	2011 	digital.csic.es	Sistema de autolisis celular para el procesado de la biomasa bacteriana en la producción de polihidroxialcanoatos en Pseudomonas putida KT2440	AE015451
JMR Aranda, JP González 	NA	2011 	docta.ucm.es	[BOOK] Avances en el metabolismo del ácido fenilacético en"" pseudomonas sp. Y2"": aproximación genética y proteómica	AE015451
H Pérez Cervantes 	NA	2011 	tesis.ipn.mx	Evaluación de una técnica filogenética para la comparación de genomas bacterianos, basada en la huella genómica de genes de proteínas ortólogas	AE015451
V Martínez, E Díaz, P García, JL García, E Duque… 	NA	2011 	digital.csic.es	Cellular autol ysis system for processing bacterial biomass in the production of pol yhydroxyalkanoates in pseudomonas putlda kt2440	AE015451
CI Amador 	NA	2011 	digital.csic.es	Caracterización del papel regulador de CbrB en Pseudomonas putida	AE015451
LN Castagno, MJ Estrella, AI Sannazzaro… 	NA	2011 	ri.conicet.gov.ar	Phosphate-solubilization mechanism and plant growth promotion activity mediated by Pantoea eucalypti isolated from Lotus tenuis rhizosphere in the Salado River …	NC_002947
ГК ДОНАЛЬДСОН, ЛЛ ХУАН, ЛЭ МЭДЖИО-ХОЛЛ… 	NA	2011 	elibrary.ru	ФЕРМЕНТАТИВНОЕ ПОЛУЧЕНИЕ 1-БУТАНОЛА	NC_002947
H Pérez Cervantes 	NA	2011 	tesis.ipn.mx	Evaluación de una técnica filogenética para la comparación de genomas bacterianos, basada en la huella genómica de genes de proteínas ortólogas	NC_002947
CI Amador 	NA	2011 	digital.csic.es	Caracterización del papel regulador de CbrB en Pseudomonas putida	NC_002947
LA Avila 	NA	2012 	teses.usp.br	Diversidade e potencial biotecnológico de Pseudomonas spp. de sedimentos de manguezais.	AE015451
K Carrillo Castro 	NA	2012 	repositorio.unal.edu.co	Identificación de genes involucrados en la transformación y resistencia a arsénico en microorganismos recuperados de zonas de Colombia con la presencia del …	AE015451
S Li, H Zhao, Y Li, S Niu, B Cai 	NA	2012 	Am Soc Microbiol	Complete genome sequence of the naphthalene-degrading Pseudomonas putida strain ND6	NC_002947
KL Schneider 	NA	2012 	scholarspace.manoa.hawaii.edu	Evolution of a plant-like gene anciently acquired as part of a genomic island in Xanthomonas	NC_002947
F Bertels 	NA	2012 	mro.massey.ac.nz	The evolution of selfish genetic elements within bacterial genomes: a thesis submitted in partial fulfilment of the requirements for the degree of Ph. D. in Molecular …	NC_002947
MH Rau 	NA	2012 	orbit.dtu.dk	Pseudomonas aeruginosa host-adaptation in cystic fibrosis patients	NC_002947
F Polytech'Lille 	NA	2012 	pepite-depot.univ-lille.fr	Etude expérimentale et in silico du potentiel de synthèse NRPS chez les Pseudomonas fluorescents	NC_002947
張万筠 	NA	2013 	tsukuba.repo.nii.ac.jp	Genetic Analysis of Chloral Hydrate Dechlorination in Pseudomonas putida LF54	AE015451
WSA Binti Wan Mohd Noor 	NA	2013 	doras.dcu.ie	An investigation of the phenotypic and genotypic changes in Pseudomonas putida CP1 following substrate-dependent autoaggregation	AE015451
王建彬 	NA	2013 	齐鲁工业大学	[CITATION] 海藻糖合酶基因 (AE015451. 1) 在枯草芽孢杆菌中的表达	AE015451
D Freikowski 	NA	2013 	scholar.archive.org	Mikrobiologischer Einfluß auf die Mobilisierung von Arsen in Aquiferen des Nadia-Distrikts, West-Bengalen, Indien	AE015451
NCL Eusébio 	NA	2013 	search.proquest.com	Identification and Genotyping of Pseudomonas aeruginosa in Bronchiectasis	NC_002947
K Conway 	NA	2013 	search.proquest.com	[BOOK] Bioinformatics and Biological Databases 1) Sigma-54 Promoter Database–A database of sigma-54 promoters covering a wide range of bacterial genomes 2) …	NC_002947
WSA Binti Wan Mohd Noor 	NA	2013 	doras.dcu.ie	An investigation of the phenotypic and genotypic changes in Pseudomonas putida CP1 following substrate-dependent autoaggregation	NC_002947
JCR Pacheco 	NA	2013 	search.proquest.com	PGP: prokaryote gene prediction software	NC_002947
L Molina, Z Udaondo, E Duque, M Fernández… 	NA	2014 	academia.edu	Antibiotic Resistance Determinants in a Pseudomonas putida Strain	NC_002947
MF Egan 	NA	2014 	cora.ucc.ie	An analysis of selected secretion systems of Pseudomonas species	NC_002947
AK Felux 	NA	2015 	kops.uni-konstanz.de	Sulfoquinovose degradation in bacteria	AE015451
SD Mayta Mendoza, SG Vela Espinoza 	NA	2015 	repositorio.uncp.edu.pe	Tratamiento biológico del cromo (VI) con Pseudomonas Putida en un biorreactor airlift de tubos concéntricos	AE015451
M Chavarría Vargas, Á Goñi Moreno, V de Lorenzo… 	NA	2016	NA	[CITATION] A Metabolic Widget Adjusts the Phosphoenolpyruvate-Dependent Fructose Influx in Pseudomonas putida	NC_002947
A Garoutte 	NA	2016 	search.proquest.com	[BOOK] Identifying the activities of rhizosphere microbial communities using metatranscriptomics	AE015451
IO Barreñada Taleb 	NA	2016 	repositori.uib.es	Manipulación genética de OBT1: del análisis del genoma a la generación de mutantes y su posterior complementación	AE015451
L Molina Delgado, Z Udaondo, E Duque, M Fernández… 	NA	2016 	digital.csic.es	Specific Gene Loci of Clinical Pseudomonas putida Isolates	NC_002947
K Bojanovic 	NA	2016 	orbit.dtu.dk	Small RNA-Controlled Gene Regulatory Networks in Pseudomonas putida	NC_002947
P Deng 	NA	2016 	scholarsjunction.msstate.edu	Genetic Characterization of Antimicrobial Activities of the Bacteria Burkholderia Contaminans MS14 and Pseudomonas Chlororaphis UFB2	NC_002947
I D'Arrigo 	NA	2016 	orbit.dtu.dk	The transcriptional landscape of the production organism Pseudomonas putida	NC_002947
V Wigneswaran 	NA	2016 	orbit.dtu.dk	Pseudomonas putida as a microbial cell factory	NC_002947
K LARADJ ZAZOU 	NA	2017	NA	[CITATION] Isolement et caractérisation des rhizobactéries promotrices de la croissance des plantes capables de lutter contre le Fusarium	NC_002947
K Kabir 	NA	2017 	rke.abertay.ac.uk	Bioprospecting surfactants produced by Pseudomonas spp. isolated from soil for potential application in biotechnology	AE015451
CT Min 	NA	2017 	search.proquest.com	Adaptive Features of Two Copper-Resistant Pseudomonas Strains Isolated from a French Vineyard Soil	AE015451
EME Rava, E Chirwa 	NA	2017 	The Italian Association of Chemical …	[CITATION] Prediction of performance of the moving-bed biofilm pilot reactor using back-propagation artificial neural network (BP-ann)	AE015451
TM Chong 	NA	2017 	studentsrepo.um.edu.my	Adaptive features of two copper-resistant Pseudomonas strains isolated from a French vineyard soil/Chong Teik Min	AE015451
M Mehrabi-Koushki, M Aeini 	NA	2017 	researchgate.net	Detection and Identification of some Pseudomonas Species causing Soft Rot using TUF Gene	AE015451
EME Rava 	NA	2017 	search.proquest.com	[BOOK] Bioaugmentation of Coal Gasification Stripped Gas Liquor Wastewater in a Hybrid Fixed-Film Bioreactor	AE015451
E Bélaz 	NA	2017 	folia.unifr.ch	Développement du système CRISPR/Cas9 pour l'ingénierie du génome ciblé chez Pseudomonas putida	AE015451
宮本龍樹 	NA	2017 	waseda.repo.nii.ac.jp	配列特異的エンドリボヌクレアーゼの解析手法の確立及び独立栄養細菌が有する RNA 切断酵素への適用	AE015451
R Słomnicka, H Olczak-Woltman, M Oskiera… 	NA	2017 	academia.edu	strain 814/98 indicates diversity within the pathovar	NC_002947
E Ertekin 	NA	2017 	193.140.201.98	Microbial ecology and genetics of benzalkonium chloride biotransformation in the environment	NC_002947
AL Byrd 	NA	2017 	search.proquest.com	Bacteria strain-tracking across the human skin landscape in health and disease	NC_002947
E Butaitė 	NA	2017 	zora.uzh.ch	Pyoverdine production and its social effects in natural communities of Pseudomonas bacteria	NC_002947
宮本龍樹 	NA	2017 	waseda.repo.nii.ac.jp	配列特異的エンドリボヌクレアーゼの解析手法の確立及び独立栄養細菌が有する RNA 切断酵素への適用	NC_002947
RS Granja Trávez 	NA	2018 	wrap.warwick.ac.uk	Biochemical characterization of multicopper oxidase enzymes from lignin degrading bacteria	AE015451
X Yu 	NA	2018 	search.proquest.com	[BOOK] Mathematical Modeling of Evolutionary Changes of Oligonucleotide Frequency Patterns of Bacterial Genomes for Genome-Scale Phylogenetic Inferences	NC_002947
S Qin 	NA	2018 	search.proquest.com	[BOOK] A Pseudomonas putida IclR-Type Transcriptional Regulator Is Involved in Rhizosphere Related Interactions	NC_002947
V Sarkarai Nadar, J Chen, DS Dheeman, AE Galvan… 	NA	2019 	digitalcommons.fiu.edu	Arsinothricin, an arsenic-containing non-proteinogenic amino acid analog of glutamate, is a broad-spectrum antibiotic	AE015451
SL Flint 	NA	2019 	theses.ncl.ac.uk	The genomic evaluation of estrogen degradation by Rhodococcus equi ATCC 13557	AE015451
L González Montes 	NA	2019 	repositorio.unican.es	ArdC, proteína antirestricción que amplía el rango de huésped del plásmido	AE015451
PM Henry 	NA	2019 	search.proquest.com	The Ecology and Epidemiology of Fusarium oxysporum f. sp. fragariae and Xanthomonas fragariae in California	AE015451
SB Costa Gutierrez 	NA	2019 	notablesdelaciencia.conicet.gov.ar	Microflora de la rizósfera de soja en condiciones de alta salinidad: Aislamiento y estudio de cepas de Pseudomonas putida benéficas frente al estrés salino	AE015451
MA Brovedan 	NA	2019 	ri.conicet.gov.ar	Resistencia a carbapenemes mediada por metalo-β-lactamasas en bacilos Gram-negativos No Fermentadores: plataformas genéticas responsables de su …	AE015451
Y Li 	NA	2019 	kops.uni-konstanz.de	Building platforms for gene expression investigation and tools for functional sequence elements identification in prokaryotic and eukaryotic genomes	NC_002947
SL Flint 	NA	2019 	theses.ncl.ac.uk	The genomic evaluation of estrogen degradation by Rhodococcus equi ATCC 13557	NC_002947
L González Montes 	NA	2019 	repositorio.unican.es	ArdC, proteína antirestricción que amplía el rango de huésped del plásmido	NC_002947
TH Ederveen 	NA	2019 	repository.ubn.ru.nl	On the role of host microbiota associated with health and disease-a metagenomics survey through marker-gene sequencing and genomics approaches	NC_002947
GM Sharp 	NA	2019 	search.proquest.com	Evaluation and Optimization of Bioinformatic Tools for the Detection of Human Foodborne Pathogens in Complex Metagenomic Datasets	NC_002947
MV Nash 	NA	2019 	research-information.bris.ac.uk	Metagenomic insights into microbial communities in proglacial landscapes	NC_002947
E Nervi Faggiani 	NA	2019 	dro.deakin.edu.au	Merging blue green Infrastructure and biotechnology: the case of glyphosate in Santa Lucia's sub-basin	NC_002947
IBTMA Juárez 	NA	2019 	repositorioinstitucional.buap.mx	AISLAMIENTO DE MICROORGANISMOS CAPACES DE CRECER EN PRESENCIA DE DICLOFENACO A PARTIR DE SUELO DE HUMEDALES …	NC_002947
WJ Li 	NA	2020 	publications.rwth-aachen.de	Plastic monomer degradation-Engineering Pseudomonas putida KT2440 for plastic monomer utilization	AE015451
LCBMM Mota 	NA	2020 	repositorio.ufu.br	Caracterização fenotípica e genotípica de isolados de Pseudomonas spp. do tomateiro tutorado no Brasil	AE015451
L Shen, G Zhu, S Guo, X Li, S Xiao, J Xu, S Chen 	NA	2020 	researchsquare.com	Isolation of a Pseudomonas putida strain that degrades p-hydroxybenzoic acid from the soil of a Panax ginseng field	NC_002947
DE Campbell 	NA	2020 	ideals.illinois.edu	Mobile genetic elements as modulators of the human gut symbiont Bacteroides	NC_002947
A Flores Sánchez 	NA	2020 	Instituto Tecnológico y de Estudios …	[CITATION] Synthesis of multicomponent polyhydroxyalkanoates from fatty acid sources in Cupriavidus necator H16 and its recombinant strain C. necator H16 …	NC_002947
LCBMM Mota 	NA	2020 	repositorio.ufu.br	Caracterização fenotípica e genotípica de isolados de Pseudomonas spp. do tomateiro tutorado no Brasil	NC_002947
MT Manoli 	NA	2020 	digital.csic.es	Optimización del metabolismo de polihidroxialcanoatos de Pseudomonas putida KT2440 mediante abordajes de biología sintética y de sistemas	NC_002947
G Wang, W Qiu, X Xu, G Zhou 	NA	2021 	cabidigitallibrary.org	Whole genome sequencing and analysis of Pseudomonas fragi NMC25 from chilled chicken.	NC_002947
K Harding 	NA	2021 	digital.wpi.edu	Transcriptomic Analysis of Pseudomonas putida for Implementation of Soil Microbial Biosensor	NC_002947
K Hori, S Takahashi, F Taguchi 	NA	2021 	chemrxiv.org	Non-enzymatic degradation of carbon nanotubes in the presence of bacterial enzymes	NC_002947
AT Atzinger 	NA	2021 	search.proquest.com	Dinucleotide Periodicity: A Genomic Architecture That Shapes Evolution	NC_002947
MT Manoli 	NA	2021 	docta.ucm.es	Synthetic and systems biology approaches towards the optimization of polyhydroxyalkanoates metabolism in Pseudomonas putida KT2440	NC_002947
M Zenger 	NA	2021 	sonar.ch	Entwicklung und Anwendung eines CRISPR/Cas9-Systems für die Genom-Editierung in Pseudomonas putida	NC_002947
DC Brown 	NA	2022 	prism.ucalgary.ca	Exploration of Multidrug Resistance Efflux Pumps (MDREPs) in Tolerance to Biocides	AE015451
PC Córdova Vargas, JP Rivera González… 	NA	2022 	repositorio.uchile.cl	Antimicrobial multiresistant phenotypes of genetically diverse pseudomonas spp. isolates associated with tomato plants in chilean orchards	NC_002947
A Ankenbauer 	NA	2022 	elib.uni-stuttgart.de	Micro-aerobic production of isobutanol with Pseudomonas putida and investigation of its resilience to substrate limitations	NC_002947
J Mueller 	NA	2022 	search.proquest.com	Modeling and Engineering P. putida for Improved Aromatic Utilization	NC_002947
IY Pozdnyakova-Filatova, EV Ivanova, KV Petrikov… 	NA	2023 	preprints.org	Identification of Phylogenetically Conserved Nitrogen-Dependent Small RNA across Pseudomonas	NC_002947
K Mains 	NA	2023 	search.proquest.com	Combining In Silico, In Vitro and In Vivo Tools to Engineer Fatty Acid Synthesis	NC_002947
M Smith 	NA	2023 	eprints.qut.edu.au	Engineering Pseudomonas putida for valorisation of sugarcane byproducts	NC_002947
Y Ackermann 	NA	2024 	scholar.archive.org	Enabling mixed microbial upcycling of plastic monomers	AE015451
Q Wen, J Chen, J Li, IPW Dharmasiddhi, M Yang… 	NA	2024 	researchsquare.com	A single-plasmid-based, easily curable CRISPR/Cas9 system for rapid, iterative genome editing in Pseudomonas putida KT2440	NC_002947
GR Cabebe, NG Farny 	NA	2024 	digital.wpi.edu	Bioinformatics & Computational Biology Program	NC_002947
SNM Farías 	NA	2024 	research.vu.nl	Metabolic modeling of microorganisms and dynamics of microbial communities in the food industry	NC_002947
YB Kim, S Cheon, SD Yun, S Kim, MJ Seo… 	NA	Available at SSRN … 	papers.ssrn.com	Comparative Genomic Analysis to Determine Critical Biocatalysts for Polyethylene Biodegradation	AE015451
H Ulhaq, Y Li, L Jin, L Cheng, T Zhang… 	NA	Available at SSRN … 	papers.ssrn.com	Crops Rotation Reduce the Abundance and Occurrence of Microbial Antibiotic Resistances in Wheat and Tomato Rhizosphere Soil Microbiome	NC_002947
E Genes 	NA	Citeseer	NA	Prokaryotic Suppression Subtractive	AE015451
R Favaro, G Dehò 	NA	Citeseer	NA	Polynucleotide Phosphorylase-Deficient	NC_002947
MP Jennings, JF Lancashire, TD Terry, PJ Blackall 	NA	Citeseer	NA	Plasmid-Encoded Tet B Tetracycline	NC_002947
D Wijte, AFM Altelaar, JH de Winde, AJR Heck… 	NA	Probing the proteome … 	academia.edu	Changes in the proteome of Pseudomonas putida KT2440 in response to toluene	NC_002947
KC Castro 	NA	academia.edu	NA	Identificación de genes involucrados en la transformación y resistencia a arsénico en microorganismos recuperados de zonas de Colombia con la presencia …	AE015451
G Tamasco 	NA	academia.edu	NA	ChiMera: An easy to use pipeline for Bacterial Genome Based Metabolic Network Reconstruction, Evaluation and Visualization	NC_002947
DOS Recouvreux, CA Carminatti, A Kelly, RVA Oliveira… 	NA	academia.edu	NA	Identificação do Operon bcs em Chromobacterium violaceum por Genômica Comparativa	NC_002947
C Terrettaz, B Cabete, J Geiser, M Valentini… 	NA	access.archive-ouverte.unige.ch	NA	Archive ouverte UNIGE	NC_002947
O DE BIOL, L MO 	NA	buleria.unileon.es	NA	ÁREA D	NC_002947
A Doménech-Sánchez, R Bosch 	NA	conference.pixel-online.net	NA	Design of a Collection of Plasmids as a Tool for Genomic Teaching Activities	NC_002947
B van Loo, J Kingma, M Arand, MG Wubbolts… 	NA	core.ac.uk	NA	Supplementary information file 1 Diversity and biocatalytic potential of epoxide hydrolases identified by genome analysis	AE015451
A Loeschcke 	NA	juser.fz-juelich.de	NA	Pseudomonas putidarDNA is a favored site for the expression of biosynthetic genes	AE015451
T del Peso-Santos, M Landfors, E SkaĻrfstad, P Ryden… 	NA	pdfs.semanticscholar.org	NA	Pr is a member of a restricted class of p 70-dependent promoters that lack a recognizable À10 element	NC_002947
N Sebastián 	NA	research.vu.nl	NA	Mendoza	NC_002947
